Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
nuevo,Chrome 114.0.0.0,,,2023-06-08 16:40:32,2023-06-08 16:40:56,"24,273s",PASSED
,,,,,,,
Test Cases/test1,Chrome 114.0.0.0,,,2023-06-08 16:40:32,2023-06-08 16:40:56,"24,082s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-08 16:40:33,2023-06-08 16:40:35,"2,027s",PASSED
"navigateToUrl(""https://www.royalcaribbean.com/"")",Chrome 114.0.0.0,,,2023-06-08 16:40:35,2023-06-08 16:40:47,"12,329s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_cruise rooms_notification-banner__secti_617cae""))",Chrome 114.0.0.0,,,2023-06-08 16:40:47,2023-06-08 16:40:48,"0,880s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Cruising to Any Destination""))",Chrome 114.0.0.0,,,2023-06-08 16:40:48,2023-06-08 16:40:49,"0,644s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Mexico""))",Chrome 114.0.0.0,,,2023-06-08 16:40:49,2023-06-08 16:40:49,"0,630s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Departing from Any Departure Port""))",Chrome 114.0.0.0,,,2023-06-08 16:40:49,2023-06-08 16:40:50,"0,620s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Los Angeles, California""))",Chrome 114.0.0.0,,,2023-06-08 16:40:50,2023-06-08 16:40:50,"0,638s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Leaving Any Date""))",Chrome 114.0.0.0,,,2023-06-08 16:40:50,2023-06-08 16:40:51,"0,628s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Dec""))",Chrome 114.0.0.0,,,2023-06-08 16:40:51,2023-06-08 16:40:52,"0,634s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/button_Search Cruises""))",Chrome 114.0.0.0,,,2023-06-08 16:40:52,2023-06-08 16:40:54,"1,824s",PASSED
"click(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/p_Recommended""))",Chrome 114.0.0.0,,,2023-06-08 16:40:54,2023-06-08 16:40:55,"1,052s",PASSED
"click(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/p_Price lowest to highest""))",Chrome 114.0.0.0,,,2023-06-08 16:40:55,2023-06-08 16:40:55,"0,740s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/h3_Ensenada Cruise""), ""Ensenada Cruise"")",Chrome 114.0.0.0,,,2023-06-08 16:40:55,2023-06-08 16:40:56,"0,503s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-08 16:40:56,2023-06-08 16:40:56,"0,644s",PASSED
